Fecha;";"; TRM 
14/08/2024;";";4038,87
13/08/2024;";";4063,26
12/08/2024;";";4064,51
11/08/2024;";";4064,51
10/08/2024;";";4064,51
9/08/2024;";";4100,79
8/08/2024;";";4136,27
7/08/2024;";";4136,27
6/08/2024;";";4184,3
5/08/2024;";";4110,37
4/08/2024;";";4110,37
3/08/2024;";";4110,37
2/08/2024;";";4057,14
1/08/2024;";";4060,34
31/07/2024;";";4089,05
30/07/2024;";";4059,91
29/07/2024;";";4014,56
28/07/2024;";";4014,56
27/07/2024;";";4014,56
26/07/2024;";";4.035,00
25/07/2024;";";4047,66
24/07/2024;";";4010,53
23/07/2024;";";4006,01
22/07/2024;";";4040,2
21/07/2024;";";4040,2
20/07/2024;";";4040,2
19/07/2024;";";4036,73
18/07/2024;";";4011,19
17/07/2024;";";3977,63
16/07/2024;";";3948,41
15/07/2024;";";3944,97
14/07/2024;";";3944,97
13/07/2024;";";3944,97
12/07/2024;";";3968,87
11/07/2024;";";3979,91
10/07/2024;";";4022,05
9/07/2024;";";4052,99
8/07/2024;";";4093,72
7/07/2024;";";4093,72
6/07/2024;";";4093,72
5/07/2024;";";4096,09
4/07/2024;";";4096,09
3/07/2024;";";4130,03
2/07/2024;";";4148,04
1/07/2024;";";4148,04
30/06/2024;";";4148,04
29/06/2024;";";4148,04
28/06/2024;";";4158,1
27/06/2024;";";4133,61
26/06/2024;";";4093,66
25/06/2024;";";4104,38
24/06/2024;";";4143,72
23/06/2024;";";4143,72
22/06/2024;";";4143,72
21/06/2024;";";4175,96
20/06/2024;";";4101,87
19/06/2024;";";4101,87
18/06/2024;";";4144,63
17/06/2024;";";4151,55
16/06/2024;";";4151,55
15/06/2024;";";4151,55
14/06/2024;";";4107,52
13/06/2024;";";4023,26
12/06/2024;";";3960,83
11/06/2024;";";3944,14
10/06/2024;";";3944,14
9/06/2024;";";3944,14
8/06/2024;";";3944,14
7/06/2024;";";3938,53
6/06/2024;";";3927,91
5/06/2024;";";3909,65
4/06/2024;";";3860,92
3/06/2024;";";3860,92
2/06/2024;";";3860,92
1/06/2024;";";3860,92
31/05/2024;";";3874,32
30/05/2024;";";3867,02
29/05/2024;";";3853,09
28/05/2024;";";3878,07
27/05/2024;";";3878,07
26/05/2024;";";3878,07
25/05/2024;";";3878,07
24/05/2024;";";3837,58
23/05/2024;";";3829,59
22/05/2024;";";3814,94
21/05/2024;";";3822,39
20/05/2024;";";3832,26
19/05/2024;";";3832,26
18/05/2024;";";3832,26
17/05/2024;";";3828,98
16/05/2024;";";3825,42
15/05/2024;";";3861,82
14/05/2024;";";3888,21
13/05/2024;";";3888,21
12/05/2024;";";3888,21
11/05/2024;";";3888,21
10/05/2024;";";3900,38
9/05/2024;";";3902,63
8/05/2024;";";3884,84
7/05/2024;";";3894,23
6/05/2024;";";3895,41
5/05/2024;";";3895,41
4/05/2024;";";3895,41
3/05/2024;";";3898,62
2/05/2024;";";3899,07
1/05/2024;";";3899,07
30/04/2024;";";3873,44
29/04/2024;";";3926,02
28/04/2024;";";3926,02
27/04/2024;";";3926,02
26/04/2024;";";3964,59
25/04/2024;";";3935,65
24/04/2024;";";3910,01
23/04/2024;";";3924,82
22/04/2024;";";3937,13
21/04/2024;";";3937,13
20/04/2024;";";3937,13
19/04/2024;";";3918,23
